16:13:15.369 [AWT-EventQueue-0] INFO  c.b.actions.EnableBrowserStack - Setting enable browserstack run update
16:13:15.371 [AWT-EventQueue-0] INFO  com.browserstack.utils.Helpers - C:/Users/mu_bi/.m2/repository/com/browserstack/browserstack-java-sdk/1.32.9/browserstack-java-sdk-1.32.9.jar
16:13:15.371 [AWT-EventQueue-0] INFO  com.browserstack.utils.Helpers - null
16:13:15.377 [AWT-EventQueue-0] INFO  c.b.actions.DisableBrowserStack - Setting disable browserstack run update
16:13:15.378 [AWT-EventQueue-0] INFO  com.browserstack.utils.Helpers - C:/Users/mu_bi/.m2/repository/com/browserstack/browserstack-java-sdk/1.32.9/browserstack-java-sdk-1.32.9.jar
16:13:15.378 [AWT-EventQueue-0] INFO  com.browserstack.utils.Helpers - null
16:13:55.627 [AWT-EventQueue-0] INFO  c.b.launchers.LaunchMavenCommand - Integrate source: java:appium-intellij:v1.1.6
16:13:55.628 [AWT-EventQueue-0] INFO  c.b.launchers.LaunchMavenCommand - Executing maven archetype command - browserstack-sdk-archetype-integrate
16:13:55.732 [ApplicationImpl pooled thread 11] INFO  c.b.l.BrowserStackRunExtension - maven
16:13:55.732 [ApplicationImpl pooled thread 11] INFO  com.browserstack.utils.Helpers - null
16:14:01.701 [java.exe] INFO  c.b.launchers.LaunchMavenCommand - Completed maven archetype command
16:16:47.909 [ApplicationImpl pooled thread 18] INFO  c.b.l.BrowserStackRunExtension - junit
16:16:47.909 [ApplicationImpl pooled thread 18] INFO  com.browserstack.utils.Helpers - true
16:16:47.910 [ApplicationImpl pooled thread 18] INFO  com.browserstack.utils.Helpers - C:/Users/mu_bi/.m2/repository/com/browserstack/browserstack-java-sdk/1.32.9/browserstack-java-sdk-1.32.9.jar
16:16:47.910 [ApplicationImpl pooled thread 18] INFO  c.b.l.BrowserStackRunExtension - Agent path: C:/Users/mu_bi/.m2/repository/com/browserstack/browserstack-java-sdk/1.32.9/browserstack-java-sdk-1.32.9.jar
16:16:47.910 [ApplicationImpl pooled thread 18] INFO  c.b.l.BrowserStackRunExtension - Adding Browserstack SDK javaagent argline
16:16:47.910 [ApplicationImpl pooled thread 18] INFO  c.b.l.BrowserStackRunExtension - Plugin version: v1.1.6
16:28:11.497 [ApplicationImpl pooled thread 22] INFO  c.b.l.BrowserStackRunExtension - junit
16:28:11.497 [ApplicationImpl pooled thread 22] INFO  com.browserstack.utils.Helpers - true
16:28:11.499 [ApplicationImpl pooled thread 22] INFO  com.browserstack.utils.Helpers - C:/Users/mu_bi/.m2/repository/com/browserstack/browserstack-java-sdk/1.32.9/browserstack-java-sdk-1.32.9.jar
16:28:11.499 [ApplicationImpl pooled thread 22] INFO  c.b.l.BrowserStackRunExtension - Agent path: C:/Users/mu_bi/.m2/repository/com/browserstack/browserstack-java-sdk/1.32.9/browserstack-java-sdk-1.32.9.jar
16:28:11.499 [ApplicationImpl pooled thread 22] INFO  c.b.l.BrowserStackRunExtension - Adding Browserstack SDK javaagent argline
16:28:11.499 [ApplicationImpl pooled thread 22] INFO  c.b.l.BrowserStackRunExtension - Plugin version: v1.1.6
16:30:03.313 [ApplicationImpl pooled thread 25] INFO  c.b.l.BrowserStackRunExtension - junit
16:30:03.313 [ApplicationImpl pooled thread 25] INFO  com.browserstack.utils.Helpers - true
16:30:03.314 [ApplicationImpl pooled thread 25] INFO  com.browserstack.utils.Helpers - C:/Users/mu_bi/.m2/repository/com/browserstack/browserstack-java-sdk/1.32.9/browserstack-java-sdk-1.32.9.jar
16:30:03.314 [ApplicationImpl pooled thread 25] INFO  c.b.l.BrowserStackRunExtension - Agent path: C:/Users/mu_bi/.m2/repository/com/browserstack/browserstack-java-sdk/1.32.9/browserstack-java-sdk-1.32.9.jar
16:30:03.314 [ApplicationImpl pooled thread 25] INFO  c.b.l.BrowserStackRunExtension - Adding Browserstack SDK javaagent argline
16:30:03.314 [ApplicationImpl pooled thread 25] INFO  c.b.l.BrowserStackRunExtension - Plugin version: v1.1.6
16:31:21.417 [ApplicationImpl pooled thread 22] INFO  c.b.l.BrowserStackRunExtension - junit
16:31:21.417 [ApplicationImpl pooled thread 22] INFO  com.browserstack.utils.Helpers - true
16:31:21.419 [ApplicationImpl pooled thread 22] INFO  com.browserstack.utils.Helpers - C:/Users/mu_bi/.m2/repository/com/browserstack/browserstack-java-sdk/1.32.9/browserstack-java-sdk-1.32.9.jar
16:31:21.419 [ApplicationImpl pooled thread 22] INFO  c.b.l.BrowserStackRunExtension - Agent path: C:/Users/mu_bi/.m2/repository/com/browserstack/browserstack-java-sdk/1.32.9/browserstack-java-sdk-1.32.9.jar
16:31:21.419 [ApplicationImpl pooled thread 22] INFO  c.b.l.BrowserStackRunExtension - Adding Browserstack SDK javaagent argline
16:31:21.419 [ApplicationImpl pooled thread 22] INFO  c.b.l.BrowserStackRunExtension - Plugin version: v1.1.6
16:35:04.081 [ApplicationImpl pooled thread 30] INFO  c.b.l.BrowserStackRunExtension - junit
16:35:04.082 [ApplicationImpl pooled thread 30] INFO  com.browserstack.utils.Helpers - true
16:35:04.083 [ApplicationImpl pooled thread 30] INFO  com.browserstack.utils.Helpers - C:/Users/mu_bi/.m2/repository/com/browserstack/browserstack-java-sdk/1.32.9/browserstack-java-sdk-1.32.9.jar
16:35:04.083 [ApplicationImpl pooled thread 30] INFO  c.b.l.BrowserStackRunExtension - Agent path: C:/Users/mu_bi/.m2/repository/com/browserstack/browserstack-java-sdk/1.32.9/browserstack-java-sdk-1.32.9.jar
16:35:04.083 [ApplicationImpl pooled thread 30] INFO  c.b.l.BrowserStackRunExtension - Adding Browserstack SDK javaagent argline
16:35:04.083 [ApplicationImpl pooled thread 30] INFO  c.b.l.BrowserStackRunExtension - Plugin version: v1.1.6
16:35:42.255 [ApplicationImpl pooled thread 29] INFO  c.b.l.BrowserStackRunExtension - junit
16:35:42.255 [ApplicationImpl pooled thread 29] INFO  com.browserstack.utils.Helpers - true
16:35:42.257 [ApplicationImpl pooled thread 29] INFO  com.browserstack.utils.Helpers - C:/Users/mu_bi/.m2/repository/com/browserstack/browserstack-java-sdk/1.32.9/browserstack-java-sdk-1.32.9.jar
16:35:42.257 [ApplicationImpl pooled thread 29] INFO  c.b.l.BrowserStackRunExtension - Agent path: C:/Users/mu_bi/.m2/repository/com/browserstack/browserstack-java-sdk/1.32.9/browserstack-java-sdk-1.32.9.jar
16:35:42.257 [ApplicationImpl pooled thread 29] INFO  c.b.l.BrowserStackRunExtension - Adding Browserstack SDK javaagent argline
16:35:42.257 [ApplicationImpl pooled thread 29] INFO  c.b.l.BrowserStackRunExtension - Plugin version: v1.1.6
